Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,141.589996,141.639999,136.160004,138.190002,134.495850,9604500
2022-02-23,139.660004,140.970001,136.509995,136.830002,133.172195,7636600
2022-02-24,133.000000,137.419998,130.929993,137.169998,133.503128,8417200
2022-02-25,138.130005,139.220001,136.190002,138.800003,135.089539,5424500
2022-02-28,137.059998,138.380005,135.039993,136.550003,132.899689,6613300
2022-03-01,136.720001,136.750000,131.149994,132.220001,128.685425,6534000
2022-03-02,132.979996,136.610001,132.770004,135.679993,132.052917,7743900
2022-03-03,136.740005,136.800003,133.449997,133.970001,130.388672,4576500
2022-03-04,132.509995,133.619995,130.699997,131.179993,127.964561,7084500
2022-03-07,131.000000,131.029999,124.169998,124.440002,121.389786,11383400
2022-03-08,125.239998,125.470001,120.800003,121.209999,118.238945,9089400
2022-03-09,127.379997,129.649994,126.629997,126.949997,123.838257,8845100
2022-03-10,124.019997,126.599998,124.000000,126.029999,122.940811,7167400
2022-03-11,127.010002,127.870003,122.510002,122.629997,119.624146,5882000
2022-03-14,121.529999,122.449997,116.750000,117.570000,114.688171,13884900
2022-03-15,119.839996,120.419998,117.750000,119.400002,116.473320,10431300
2022-03-16,122.849998,126.110001,121.930000,125.190002,122.121391,11100400
2022-03-17,124.940002,127.410004,123.699997,127.410004,124.286987,6845300
2022-03-18,126.849998,131.460007,126.699997,131.240005,128.023117,10350900
2022-03-21,129.720001,132.309998,128.619995,130.190002,126.998848,14388500
2022-03-22,137.279999,139.000000,132.990005,133.089996,129.827759,19731200
2022-03-23,132.639999,135.399994,131.199997,133.000000,129.739960,8068800
2022-03-24,133.750000,134.190002,131.199997,132.080002,128.842529,5853800
2022-03-25,133.050003,133.869995,131.710007,133.699997,130.422791,6287000
2022-03-28,133.759995,134.860001,132.169998,134.809998,131.505600,5804100
2022-03-29,137.850006,139.750000,136.949997,139.139999,135.729462,7275900
2022-03-30,138.979996,139.860001,137.559998,138.539993,135.144165,5545800
2022-03-31,137.830002,138.710007,134.500000,134.559998,131.261719,7206500
2022-04-01,134.449997,135.279999,132.750000,133.520004,130.247223,5807500
2022-04-04,133.050003,135.210007,132.860001,134.339996,131.047119,5307300
2022-04-05,134.039993,134.679993,132.020004,132.300003,129.057129,5707800
2022-04-06,130.050003,130.300003,126.330002,128.360001,125.213692,6961000
2022-04-07,127.430000,129.979996,127.089996,129.380005,126.208702,5320500
2022-04-08,129.440002,129.929993,127.879997,128.149994,125.008835,4877400
2022-04-11,125.099998,126.870003,124.320000,124.980003,121.916557,6365400
2022-04-12,125.199997,128.100006,124.339996,125.040001,121.975075,5146800
2022-04-13,125.040001,127.860001,125.040001,127.489998,124.365021,5119300
2022-04-14,129.080002,134.380005,128.889999,133.460007,130.188705,12811300
2022-04-18,132.000000,133.389999,130.309998,131.630005,128.403549,5298200
2022-04-19,133.089996,137.479996,132.779999,137.050003,133.690720,7346100
2022-04-20,137.960007,138.649994,135.660004,135.869995,132.539612,5309700
2022-04-21,138.550003,139.139999,135.080002,135.460007,132.139664,6562400
