Date,Open,High,Low,Close,Adj Close,Volume
2022-09-26,129.139999,133.139999,128.820007,130.100006,129.555130,698729
2022-09-27,128.800003,131.539993,127.300003,127.300003,126.766853,850482
2022-09-28,125.379997,130.979996,124.360001,130.240005,129.694550,1020820
2022-09-29,129.119995,129.440002,122.820000,124.019997,123.500587,989289
2022-09-30,120.279999,121.040001,116.739998,118.879997,118.382111,1464885
2022-10-03,117.879997,119.000000,115.019997,119.000000,118.501617,901404
2022-10-04,120.660004,126.199997,119.680000,126.199997,125.671455,759899
2022-10-05,125.559998,127.440002,121.919998,122.800003,122.285706,775574
2022-10-06,123.199997,125.580002,121.139999,121.860001,121.349640,685234
2022-10-07,118.260002,120.760002,115.559998,115.559998,115.076019,1009111
2022-10-10,113.940002,117.940002,113.220001,114.239998,113.761543,687813
2022-10-11,113.660004,115.279999,112.500000,115.080002,114.598030,535213
2022-10-12,115.080002,116.519997,111.300003,111.879997,111.411430,627688
2022-10-13,109.900002,114.739998,107.459999,113.120003,112.646240,970729
2022-10-14,115.680000,116.339996,111.739998,114.120003,113.642052,716323
2022-10-17,114.300003,119.059998,112.360001,118.180000,117.685051,611802
2022-10-18,120.320000,121.300003,118.279999,118.279999,117.784630,517632
2022-10-19,118.900002,118.900002,114.620003,115.680000,115.195518,441897
2022-10-20,115.580002,116.059998,112.440002,114.800003,114.319206,602305
2022-10-21,105.500000,107.099998,101.839996,103.860001,103.425026,2343672
2022-10-24,102.779999,105.180000,102.099998,103.820000,103.385185,1023030
2022-10-25,102.699997,103.059998,94.620003,100.500000,100.079094,2593953
2022-10-26,100.540001,102.459999,97.199997,102.000000,101.572815,1319846
2022-10-27,100.019997,103.199997,99.260002,99.339996,98.923950,1202931
2022-10-28,97.720001,99.820000,96.800003,99.349998,98.933907,906780
2022-10-31,100.320000,100.400002,98.339996,98.980003,98.565460,644178
2022-11-01,100.360001,101.459999,97.949997,98.970001,98.555504,723528
2022-11-02,98.230003,98.760002,96.550003,96.879997,96.474251,860172
2022-11-03,95.989998,96.769997,93.400002,93.949997,93.556526,933785
2022-11-04,96.000000,121.260002,94.970001,114.040001,113.562386,4104049
2022-11-07,111.919998,115.580002,108.900002,114.959999,114.478531,1316309
2022-11-08,114.000000,120.480003,111.500000,120.000000,119.497429,1825055
2022-11-09,116.500000,125.580002,116.260002,124.440002,123.918831,1819798
2022-11-10,121.800003,129.199997,119.760002,128.000000,127.463921,1358143
2022-11-11,130.000000,137.059998,128.720001,135.639999,135.071930,1358362
2022-11-14,136.419998,137.100006,131.320007,131.860001,131.307755,1010308
2022-11-15,132.479996,132.679993,127.660004,132.119995,131.566666,1055741
2022-11-16,131.699997,133.240005,129.100006,129.720001,129.176712,757179
2022-11-17,130.000000,130.899994,127.839996,129.039993,128.499557,521373
2022-11-18,130.039993,130.500000,125.959999,129.199997,128.658890,1106151
2022-11-21,128.199997,128.720001,123.139999,124.300003,123.779419,629747
2022-11-22,123.959999,125.099998,122.019997,123.000000,122.484863,513158
2022-11-23,123.300003,125.139999,121.839996,124.300003,123.779419,425774
2022-11-24,124.300003,127.599998,123.239998,126.660004,126.129539,357085
2022-11-25,126.400002,126.400002,123.099998,123.980003,123.460762,478674
2022-11-28,123.379997,124.660004,121.260002,121.260002,120.752151,552970
2022-11-29,123.000000,125.639999,120.080002,120.940002,120.433495,634258
2022-11-30,122.000000,123.080002,120.800003,122.260002,121.747963,737949
2022-12-01,124.639999,127.680000,123.879997,124.919998,124.396820,621297
2022-12-02,123.199997,126.339996,122.099998,124.260002,123.739586,604971
2022-12-05,123.959999,127.000000,121.599998,122.059998,121.548798,561951
2022-12-06,121.559998,122.500000,118.419998,119.059998,118.561363,583092
2022-12-07,118.000000,118.980003,116.379997,117.559998,117.067642,485959
2022-12-08,117.599998,117.699997,114.599998,117.540001,117.047729,458121
2022-12-09,118.379997,119.959999,117.379997,118.900002,118.402031,519137
2022-12-12,117.699997,118.239998,115.800003,117.500000,117.007896,386176
2022-12-13,117.339996,126.080002,117.180000,124.000000,123.480675,797534
2022-12-14,122.800003,124.160004,121.540001,123.980003,123.460762,541099
2022-12-15,122.000000,122.379997,117.639999,118.559998,118.063454,981327
2022-12-16,117.959999,122.519997,116.660004,121.099998,120.592819,1549332
2022-12-19,122.900002,122.900002,119.800003,121.180000,120.672485,462728
2022-12-20,119.540001,121.300003,117.500000,118.300003,117.804550,561316
2022-12-21,122.500000,129.360001,122.500000,126.300003,125.771042,885425
2022-12-22,124.900002,127.199997,124.400002,125.160004,124.635818,366134
2022-12-23,124.940002,126.779999,123.860001,125.860001,125.332886,279834
2022-12-27,126.959999,127.160004,125.300003,126.339996,125.810867,224479
2022-12-28,126.339996,129.059998,125.779999,125.779999,125.253220,279425
2022-12-29,125.019997,129.440002,124.160004,128.380005,127.842331,388380
2022-12-30,127.800003,128.039993,126.000000,127.459999,126.926178,251398
2023-01-02,128.339996,128.660004,126.199997,127.699997,127.165176,278889
2023-01-03,129.740005,133.360001,129.020004,131.880005,131.327682,437757
2023-01-04,132.199997,138.880005,132.199997,138.380005,137.800446,870762
2023-01-05,138.220001,140.860001,137.520004,138.539993,137.959778,421267
2023-01-06,139.580002,140.679993,137.199997,140.679993,140.090805,518333
2023-01-09,141.699997,143.059998,139.479996,141.660004,141.066711,773636
2023-01-10,141.000000,141.500000,138.479996,140.100006,139.513245,494204
2023-01-11,141.279999,146.800003,140.860001,144.539993,143.934647,808600
2023-01-12,143.619995,148.139999,143.500000,146.440002,145.826691,559425
2023-01-13,145.979996,148.440002,145.300003,146.520004,145.906357,483063
2023-01-16,147.960007,152.199997,146.820007,149.619995,148.993362,541393
2023-01-17,148.000000,152.279999,147.699997,150.619995,149.989182,500540
2023-01-18,151.220001,151.539993,148.740005,149.479996,148.853958,432707
2023-01-19,146.779999,147.539993,143.839996,144.139999,143.536331,655332
2023-01-20,145.779999,147.059998,144.179993,146.440002,145.826691,552986
2023-01-23,147.300003,149.080002,145.500000,148.759995,148.136963,373064
